seed	531802985935182545
construction_seconds	186.433266
path	nodes	max_cut	max_fill	max_step	pins	pin_digest	water_bounds	water_digest
poi_spur_036	263	22	30	1	2	37005cc442d09480730faea278b55b1725cc46f8ddb79bf05ef342e4c96cecb6	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_037	301	6	1	1	2	a974c0613b470cfe75ba226405efc87e88df7cad47173d96db370ebde9974254	169	73027e2a255faa010abe3ee32f00b582dab6ea8507d77590f4e0dc7dafef06a6
poi_spur_038	267	2	0	1	2	eef31048ddd0cb10a25b4bbb908dcdc332c97b0da6a3a2e9e7806e847b3fc02a	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_039	219	2	0	1	2	77041f4d5281f2d9c2cb9ea10037f136dd0a343b6309f062a57763c8b15b82ca	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_040	333	3	6	1	2	7721ae0dae3f0cd1da62238c5d6cf309042ee669fbbbf29b846fd483d52db651	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_041	177	2	0	1	2	df40c24d4c80e5d1de6327d8daefe7e4ce000cc1356353143d8aeb37c0e5ccf6	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_042	251	20	0	1	2	c240771f27c8324a8cbd36dc48ebddb628262f13f452e32936d7b4af864bf8af	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_043	375	2	16	1	2	d34b543b7ab17f2abe562810643dd8ce0e0fd6b7fdde6cb8e8fe79413fdc3468	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_044	277	4	1	1	2	bd04e820a9eedf3eea4cbc9dc8da91766e9a97c205c8eeb74a3dacb0c344a6bb	0	49e8e3297545c15ab6a79471a7a34d43e24a8f1cb25ea3d8417c61f699267a3f
poi_spur_045	353	7	49	1	2	6dd19cc587c43e48bf0d669822194edb0ee16d81c9de973b6e8330f40b1fa2e5	117	f8a4447b4b993aa8e1351c232c1679dc078b72ce3733e3f84e752bfde24162ff
