kind	seed	lot	reference	skirt_face	best_side	best_step	walkable_sides
kezamba_walk	2	totem_3	33	1	-1,0	1	4
kezamba_walk	2	totem_4	30	1	-1,0	1	4
kezamba_walk	2	totem_5	33	1	-1,0	1	4
kezamba_walk	2	totem_6	39	0	0,1	1	4
kezamba_walk	2	totem_7	39	0	0,1	1	4
kezamba_walk	2	totem_f1	32	1	0,1	2	4
kezamba_walk	2	totem_f2	30	0	0,1	0	4
kezamba_walk	2	totem_f3	36	0	-1,0	1	4
kezamba_walk	2	totem_f4	30	0	0,1	0	3
kezamba_core_edge	2	48,0	66	water	-	-	-
kezamba_core_edge	2	-48,0	66	0	-	-	-
kezamba_core_edge	2	0,48	66	water	-	-	-
kezamba_core_edge	2	0,-48	66	0	-	-	-
kezamba_walk	42	shore_1	45	0	1,0	1	4
kezamba_walk	42	shore_2	42	2	0,1	1	4
kezamba_walk	42	shore_3	42	0	0,1	0	4
kezamba_walk	42	shore_4	48	1	0,-1	1	4
kezamba_walk	42	shore_5	42	0	0,-1	0	4
kezamba_walk	42	shore_6	36	0	0,1	0	4
kezamba_walk	42	shore_7	40	1	-1,0	1	4
kezamba_walk	42	shore_8	40	1	0,-1	1	4
kezamba_walk	42	shore_9	39	0	0,-1	1	4
kezamba_walk	42	shore_f1	42	0	0,-1	1	4
kezamba_walk	42	shore_f2	42	0	-1,0	1	4
kezamba_walk	42	shore_f3	42	0	0,1	0	4
kezamba_walk	42	shore_f4	42	0	0,1	0	4
kezamba_walk	42	vine_1	33	0	0,-1	1	4
kezamba_walk	42	vine_2	39	0	0,1	0	4
kezamba_walk	42	vine_3	39	0	0,1	0	4
kezamba_walk	42	vine_4	37	1	0,-1	0	4
kezamba_walk	42	vine_5	36	0	-1,0	0	4
kezamba_walk	42	vine_6	36	0	0,1	0	4
kezamba_walk	42	vine_7	39	0	0,-1	0	4
kezamba_walk	42	vine_8	36	0	-1,0	0	4
kezamba_walk	42	vine_9	36	0	1,0	1	4
kezamba_walk	42	vine_f1	42	0	0,1	1	4
kezamba_walk	42	vine_f2	36	0	0,-1	0	4
kezamba_walk	42	vine_f3	38	1	1,0	0	4
kezamba_walk	42	vine_f4	42	0	0,1	1	4
kezamba_walk	42	canopy_1	39	0	0,-1	1	4
kezamba_walk	42	canopy_2	40	1	0,-1	0	4
kezamba_walk	42	canopy_3	42	0	0,-1	1	4
kezamba_walk	42	canopy_4	39	0	1,0	0	4
kezamba_walk	42	canopy_5	36	0	1,0	1	4
kezamba_walk	42	canopy_6	33	0	0,-1	1	4
kezamba_walk	42	canopy_7	39	0	0,1	0	4
kezamba_walk	42	canopy_8	40	1	1,0	0	4
kezamba_walk	42	canopy_9	37	0	1,0	1	4
kezamba_walk	42	canopy_10	42	0	-1,0	0	4
kezamba_walk	42	canopy_11	39	0	1,0	0	4
kezamba_walk	42	canopy_f1	39	0	0,1	0	4
kezamba_walk	42	canopy_f2	36	0	0,-1	0	4
kezamba_walk	42	canopy_f3	36	0	0,-1	0	4
kezamba_walk	42	canopy_f4	35	1	0,-1	1	4
kezamba_walk	42	totem_1	36	0	0,-1	0	4
kezamba_walk	42	totem_2	42	1	0,1	1	4
kezamba_walk	42	totem_3	39	0	1,0	0	4
kezamba_walk	42	totem_4	42	0	-1,0	1	4
kezamba_walk	42	totem_5	43	0	-1,0	1	4
kezamba_walk	42	totem_6	39	0	0,-1	0	4
kezamba_walk	42	totem_7	42	0	0,1	1	4
kezamba_walk	42	totem_f1	42	0	-1,0	1	4
kezamba_walk	42	totem_f2	36	0	-1,0	0	4
kezamba_walk	42	totem_f3	42	0	0,-1	1	4
kezamba_walk	42	totem_f4	36	0	0,1	0	4
kezamba_core_edge	42	48,0	66	water	-	-	-
kezamba_core_edge	42	-48,0	66	0	-	-	-
kezamba_core_edge	42	0,48	66	water	-	-	-
kezamba_core_edge	42	0,-48	66	0	-	-	-
kezamba_walk	12345	shore_1	39	0	-1,0	1	4
kezamba_walk	12345	shore_2	42	0	0,-1	0	4
kezamba_walk	12345	shore_3	42	0	0,-1	1	4
kezamba_walk	12345	shore_4	42	0	0,-1	1	4
kezamba_walk	12345	shore_5	39	0	0,1	1	4
