schema	grug_wp40_extreme_candidate_shard_v2
range	1024	1535	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	761144b369db7602e36dd2e9f433e60b52c219bf69256522f4d0098aa2764979
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
1044	scored	grudgelands-wp40-extreme-1044	5a39c7d447e097c7a683eb16335d818c0e8a17d6b869ef7427107ad9ed54723c	5a39c7d447e097c7	6501447251638917063	96033225	49392123904	23552	07244e8a8dbbdc852e288519ba6090432bfaa7e84665a1ef95ca3a34ea92a8ab	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1251496993	178530549760	42565	905b1785fe1385acdbc1f0910783c827e2e67acb7c5fbed74e38dc327018586c	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1045	scored	grudgelands-wp40-extreme-1045	516c1335444f3b13a2be4a44770bbeaaf3696855c232bc38e132ef7c95049f1d	516c1335444f3b13	5867085534057151251	72642445	24696061952	23552	4a0acf9eb6fd03d30f9f69a876f63f3f95de54b4102a9564fe3438a2a0c25a59	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	426868917	89265274880	42565	317b607e8da0bda073e9b2e53a3bd3372288616f305fffe0a5f2dae86699727e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1046	scored	grudgelands-wp40-extreme-1046	8f73b1aee0fb89c2051a473cfef42d2270ba92ee4d17c83b089b2cedfdbf9c13	8f73b1aee0fb89c2	10336800934402427330	-152303365	74088185856	23552	949223bd60f66b5396e25dd1657b504839a87f1bc8d861332f568a20c53dc4f7	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-14520993	4463263744	42565	b0b58d1d26b91ce98b86e6768e25358773be3a636dd02577839f33bb01d0a7b4	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1047	scored	grudgelands-wp40-extreme-1047	d3352c55ba9047fdc8dd731699ce7f9f9a5c3f73e6b7a24349a7bf5d8d1c01de	d3352c55ba9047fd	15219119262482319357	-33247555	148176371712	23552	daccdccb86b9dec1bae6db407c0760d990487d2aa8c1da0307da9398502a7b6b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	93907541	4463263744	42565	1ab89ea1759e44537af6b3c35ad8637c7f332b0fbc74a8b653de2be6fd1966f6	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1048	scored	grudgelands-wp40-extreme-1048	e7733700bc2ec55614e2983fc752356d8976d7676abef93c5966a7698eb37426	e7733700bc2ec556	16677734321379788118	-135823423	148176371712	23552	5a58ce6fffa007aba828ee026fc09d3c910818f56a464b40b514038fa4d8d133	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	563618667	35706109952	42565	f4f48c302b1b929188d2f8a7530a3366160e29b8532b878ea6b02576959e0b05	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1049	scored	grudgelands-wp40-extreme-1049	a9a8c825f7e07bae9268dcd01e145e2569c0d923ac103f9fa0b189540bb44ef1	a9a8c825f7e07bae	12225241253895240622	34803361	24696061952	23552	7043ee8277855cf6fcc0a9dd044a5f5c1988aa5674d8f7d5a8daf49ce5d8e185	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-485977909	178530549760	42565	033b22a0c3931831d757bcb22838df773dadc05af045ea2c6ffbb6363f17dc33	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1050	scored	grudgelands-wp40-extreme-1050	915f2f03e0abf5dc80746c204e2d3cb8d15244629075feceae60f58bf850d3cd	915f2f03e0abf5dc	10475142951987836380	-26180515	148176371712	23552	af849ee358e0f7127a0fa899ccec2aa08ea64b1ce0d22cae8abbf8469368e434	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	810465909	178530549760	42565	b96ea46b0346922c89747fbc0631a0ecdc9cc4fc7fe97180e678f6d8f1875cc1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1051	scored	grudgelands-wp40-extreme-1051	143ff7ee7e974316db1f09d295989413b765a9ff0215d4ca06ad95d9dd0f3412	143ff7ee7e974316	1459157407989449494	122656175	74088185856	23552	b1aba26aac51cace8e1a395ed9961960c8698b75d4ca5ca8b696c92c63094a88	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-416603347	35706109952	42565	59199b096b1ab75dd54852113cc3c8f80137cb7decf838703a9a7818f4823115	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1052	scored	grudgelands-wp40-extreme-1052	ea8093d1e9904be2b4a2a94f9f518bcc8fda7767755931bf219c293b303744b1	ea8093d1e9904be2	16897668331670096866	-131403533	74088185856	23552	e043f43ebbdcca0e3d0ca14f7424fac7f18b4c92bb5b8dc287bcca6c5deef942	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-134403543	44632637440	42565	abf2d7eb66b66274788a5861e3d296631440e1501018dc87a969c446b670697e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1053	scored	grudgelands-wp40-extreme-1053	9743e765b58deed2a1001b90ac5059ee7177199b8dfd6eb992483b29348d4ec6	9743e765b58deed2	10899809947190423250	177929465	74088185856	23552	26a28fd8cafade9da0d72505a8b696bfefd59bac9a88d7a2efa32d8f0dbf1e74	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	265018277	89265274880	42565	876fb8ee255bd8b53bd7636c73ed905888a35e19bf3b4746fd602a74104c6adf	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1054	scored	grudgelands-wp40-extreme-1054	a8d55bfd05a787900c7849d6b66aa85a23b0a4a69ce09b981ffdc6a2f215360b	a8d55bfd05a78790	12165731110690981776	-43199125	24696061952	23552	d8dfd752f9e399e664cb4bf92447d2e3540dd4235c08dfdbda0981e9a06b2133	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-376856037	178530549760	42565	937722c0a5c0001ca5779bb9b4ca16900b842182d5624bd0fb7fdc77b70fbf06	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1055	scored	grudgelands-wp40-extreme-1055	298549a2aefe66ecc3f41fdab088565c394b46fe20b4a3bc2014945f47b5b782	298549a2aefe66ec	2991878490527000300	-70930171	74088185856	23552	892063f7f26d5dde4a401d264c1abf052f4fe98ac672ce7335d1a3236f5fdf94	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-25980651	44632637440	42565	255c550f2a9b7a715138583ea276d2c419270ea27b89e567ac6e3be2e3b2ab4f	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1056	scored	grudgelands-wp40-extreme-1056	a98585848f0075f6a7a604a5874bf5ad06e2250b53bb7e44cad1b93148e39c08	a98585848f0075f6	12215316368693687798	-382708253	148176371712	23552	2006191c4a2088d45fc75b02c96018507f18456590add956000c97a93e08ee02	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-442985743	35706109952	42565	514ab113f14ab9e05624063c8b12dbc9e33567a3ac3e3ae37a9026aff17cffa5	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
1057	scored	grudgelands-wp40-extreme-1057	93d0376d69d441d4c0de2894a825188b293507b56b90a44bb6e4109be9ac9a4f	93d0376d69d441d4	10651074061797704148	64693789	49392123904	23552	67cdaf610276cacb5db784655a7e007e713ef27e225f94a903c854fab35c59e6	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	282040783	89265274880	42565	3f096d071a904c56ec27a5497711d6fc782f1328c80a4986b16a0d37e860fa24	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
