capital	run	columns	spread	step	lane_step	junctions	overlaps	junc_spread	junc_step	raised	raise_max	walled	solid	pillars	wet	piers	rails	lamps	lamps_off	queries
dur_brannoc	ring_north	193	0	1	1	0	0	0	0	270	4	13	0	13	0	2	8	50	0	2678
dur_brannoc	lane_southeast_spine	221	0	1	1	0	0	0	0	326	3	2	0	2	0	0	4	56	0	2830
dur_brannoc	lane_southeast_cross	221	0	1	1	0	0	0	0	476	5	106	0	106	0	20	110	56	0	2936
dur_brannoc	lane_northeast_spine	221	0	1	1	0	0	0	0	258	2	0	0	0	0	0	0	56	0	2826
dur_brannoc	lane_northeast_cross	221	0	1	1	0	0	0	0	571	4	24	0	24	0	6	38	56	0	2864
dur_brannoc	lane_northwest_spine	221	0	1	1	0	0	0	0	140	2	0	0	0	0	0	0	56	0	2826
dur_brannoc	lane_northwest_cross	221	0	1	1	0	0	0	0	567	4	59	0	59	0	14	70	56	0	2896
dur_brannoc	lane_southwest_spine	221	0	1	1	0	0	0	0	361	3	18	0	18	0	4	24	56	0	2850
dur_brannoc	lane_southwest_cross	221	0	1	1	0	0	0	0	595	6	139	0	139	0	20	134	56	0	2960
gor_drazhak	avenue_south	214	0	1	1	0	0	0	0	18	1	0	0	0	0	0	0	54	0	2779
gor_drazhak	avenue_north	214	0	1	1	0	0	0	0	25	2	0	0	0	0	0	0	54	0	2779
gor_drazhak	avenue_west	214	0	1	1	0	0	0	0	188	2	0	0	0	0	0	0	54	0	2779
gor_drazhak	avenue_east	214	0	1	1	0	0	0	0	55	1	0	0	0	0	0	0	54	0	2779
gor_drazhak	ring_west	193	0	1	1	0	0	0	0	134	2	0	0	0	0	0	0	50	0	2670
gor_drazhak	ring_east	193	0	1	1	0	0	0	0	69	1	0	0	0	0	0	0	50	0	2670
gor_drazhak	ring_south	193	0	1	1	0	0	0	0	84	2	0	0	0	0	0	0	50	0	2670
gor_drazhak	ring_north	193	0	1	1	0	0	0	0	36	1	0	0	0	0	0	0	50	0	2670
gor_drazhak	lane_spine_southeast	187	0	1	1	0	0	0	0	322	3	20	0	20	0	4	36	48	0	2684
gor_drazhak	lane_cross_southeast	187	0	1	1	0	0	0	0	152	2	0	0	0	0	0	0	48	0	2648
gor_drazhak	lane_spine_northeast	187	0	1	1	0	0	0	0	263	3	1	0	1	0	0	2	48	0	2650
gor_drazhak	lane_cross_northeast	187	0	1	1	0	0	0	0	137	2	0	0	0	0	0	0	48	0	2648
gor_drazhak	lane_spine_northwest	187	0	1	1	0	0	0	0	239	2	0	0	0	0	0	0	48	0	2648
gor_drazhak	lane_cross_northwest	187	0	1	1	0	0	0	0	207	3	2	0	2	0	0	4	48	0	2652
gor_drazhak	lane_spine_southwest	187	0	1	1	0	0	0	0	221	2	0	0	0	0	0	0	48	0	2648
gor_drazhak	lane_cross_southwest	187	0	1	1	0	0	0	0	331	3	18	0	18	0	4	32	48	0	2680
lethariel	avenue_south	214	0	1	1	0	0	0	0	192	2	0	0	0	0	0	0	54	0	2779
lethariel	avenue_north	240	0	1	1	0	0	0	0	862	6	85	0	85	675	40	268	60	0	3183
lethariel	avenue_west	214	0	1	1	0	0	0	0	236	2	0	0	0	0	0	0	54	0	2779
lethariel	avenue_east	214	0	1	1	0	0	0	0	583	5	57	0	57	368	24	174	54	0	2538
lethariel	ring_west	193	0	1	1	0	0	0	0	148	2	0	0	0	0	0	0	50	0	5250
lethariel	ring_east	193	0	1	1	0	0	0	0	584	5	42	0	42	301	20	138	50	0	4103
